canton,skill,vacancy_count,rank,share_within_group
TI,ansible,2,10,0.0328
TI,bigquery,2,10,0.0328
TI,dbt,2,10,0.0328
TI,docker,2,10,0.0328
TI,etl,2,10,0.0328
TI,numpy,2,10,0.0328
TI,pandas,2,10,0.0328
TI,postgresql,2,10,0.0328
TI,react,2,10,0.0328
TI,scrum,2,10,0.0328
TI,spring,2,10,0.0328
TI,terraform,2,10,0.0328
TI,agile/scrum,1,11,0.0164
TI,airflow,1,11,0.0164
TI,boost,1,11,0.0164
TI,clean_code,1,11,0.0164
TI,csharp,1,11,0.0164
TI,data analysis,1,11,0.0164
TI,dotnet,1,11,0.0164
TI,gitops,1,11,0.0164
TI,go,1,11,0.0164
TI,kafka,1,11,0.0164
TI,langchain,1,11,0.0164
TI,langgraph,1,11,0.0164
TI,looker,1,11,0.0164
TI,mongodb,1,11,0.0164
TI,ms-excel,1,11,0.0164
TI,ms-powerbi,1,11,0.0164
TI,mssql,1,11,0.0164
TI,nosql,1,11,0.0164
TI,ollama,1,11,0.0164
TI,on-premises,1,11,0.0164
TI,onestream,1,11,0.0164
TI,oo,1,11,0.0164
TI,powerpoint,1,11,0.0164
TI,process optimization,1,11,0.0164
TI,project management,1,11,0.0164
TI,pytorch,1,11,0.0164
TI,quality_by_design,1,11,0.0164
TI,redis,1,11,0.0164
TI,ruby,1,11,0.0164
TI,sap hr,1,11,0.0164
TI,sas enterprise guide,1,11,0.0164
TI,scikit_learn,1,11,0.0164
TI,successfactors,1,11,0.0164
TI,swift,1,11,0.0164
TI,typescript,1,11,0.0164
TI,vba,1,11,0.0164
TI,vllm,1,11,0.0164
TI,workday,1,11,0.0164
TI,wpf,1,11,0.0164
TI,xaml,1,11,0.0164
Unknown,python,49,1,0.2121
Unknown,ci_cd,37,2,0.1602
Unknown,agile,36,3,0.1558
Unknown,devops,30,4,0.1299
Unknown,react,28,5,0.1212
Unknown,aws,27,6,0.1169
Unknown,typescript,23,7,0.0996
Unknown,javascript,22,8,0.0952
Unknown,sql,22,8,0.0952
Unknown,rust,19,9,0.0823
Unknown,gcp,15,10,0.0649
Unknown,java,14,11,0.0606
Unknown,terraform,14,11,0.0606
Unknown,c++,13,12,0.0563
Unknown,csharp,13,12,0.0563
Unknown,nodejs,13,12,0.0563
Unknown,azure,12,13,0.0519
Unknown,postgresql,11,14,0.0476
Unknown,test_automation,11,14,0.0476
Unknown,kafka,9,15,0.039
Unknown,microservices,9,15,0.039
Unknown,mysql,9,15,0.039
Unknown,c,8,16,0.0346
Unknown,kubernetes,8,16,0.0346
